Label,plus_test,minus_test
121b1,False,False
121b2,False,False
235a1,False,True
236a1,False,False
256b1,False,False
256b2,False,False
262a1,False,False
274c1,False,False
274c2,False,False
288a1,False,False
288a2,False,False
297a1,False,False
330e1,False,False
330e2,False,False
330e3,False,False
330e4,False,False
348a1,False,False
372a1,False,False
384h1,False,False
384h2,False,False
446b1,False,False
462c1,False,False
462c2,False,False
462c3,False,False
462c4,False,False
465a1,False,True
465a2,False,True
469b1,False,False
472e1,False,False
497a1,False,False
514a1,False,False
514a2,False,False
514a3,False,False
514a4,False,False
528h1,False,False
528h2,False,False
528h3,False,False
528h4,False,False
550g1,False,False
550g2,False,False
557a1,False,False
575b1,False,False
576h1,False,False
576h2,False,False
576h3,False,False
576h4,False,False
616a1,False,False
616a2,False,False
644a1,False,False
650a1,False,False
650a2,False,False
650a3,False,False
650a4,False,False
654a1,False,False
677a1,False,False
780c1,False,False
780c2,False,False
795a1,False,False
795a2,False,False
795a3,False,False
795a4,False,False
798a1,False,False
798a2,False,False
798h1,False,False
798h2,False,False
800a1,False,False
800a2,False,False
800a3,False,False
800a4,False,False
800h1,False,False
800h2,False,False
825b1,False,False
825b2,False,False
825b3,False,False
825b4,False,False
830b1,False,False
840a1,False,False
840a2,False,False
840a3,False,False
840a4,False,False
856b1,False,False
870f1,False,False
870f2,False,False
880c1,False,False
880c2,False,False
880c3,False,False
880c4,False,False
885b1,False,False
885b2,False,False
885b3,False,False
885b4,False,False
890a1,False,False
890a2,False,False
891a1,False,False
892c1,False,False
939b1,False,False
939b2,False,False
944a1,False,False
954d1,False,False
990j1,False,False
990j2,False,False
990j3,False,False
990j4,False,False
1017a1,False,False
1026i1,False,False
1028c1,False,False
1035e1,False,False
1044e1,False,False
1044f1,False,False
1048b1,False,False
1055a1,False,False
1062h1,False,False
1062h2,False,False
1062h3,False,False
1062h4,False,False
1074f1,False,False
1089f1,False,False
1089f2,False,False
1089g1,False,False
1089g2,False,False
1089g3,False,False
1089g4,False,False
1089h1,False,False
1089h2,False,False
1113b1,False,False
1113b2,False,False
1131a1,False,False
1131a2,False,False
1139a1,False,False
1152t1,False,False
1152t2,False,False
1170c1,False,False
1170c2,False,False
1170c3,False,False
1170c4,False,False
1175a1,False,False
1175b1,False,False
1185e1,False,False
1185e2,False,False
1190f1,False,False
1232e1,False,False
1232e2,False,False
1242a1,False,False
1242n1,False,False
1254e1,False,False
1254e2,False,False
1269e1,False,False
1284d1,False,False
1287a1,False,False
1287a2,False,False
1306a1,False,False
1354a1,False,False
1380e1,False,False
1392l1,False,False
1395b1,False,False
1395b2,False,False
1400f1,False,False
1400l1,False,False
1400m1,False,False
1406f1,False,False
1441a1,False,False
1454b1,False,False
1455d1,False,False
1455d2,False,False
1460a1,False,False
1460a2,False,False
1478b1,False,False
1478c1,False,False
1488m1,False,False
1520c1,False,False
1520c2,False,False
1520d1,False,False
1520d2,False,False
1540a1,False,False
1540a2,False,False
1566o1,False,False
1568g1,False,False
1568g2,False,False
1568g3,False,False
1568g4,False,False
1578e1,False,False
1590l1,False,False
1590n1,False,False
1590n2,False,False
1600t1,False,False
1600t2,False,False
1600u1,False,False
1600u2,False,False
1607a1,False,False
