Conductor,Rank,mu_11,lam_11,lam_11_MW
651d1,1,0.0,11.0,11.0
651d1,1,0.0,1.0,1.0
675a1,1,0.0,3.0,1.0
675a1,1,0.0,1.0,1.0
714f1,1,0.0,3.0,1.0
714f1,1,0.0,1.0,1.0
754c1,1,0.0,3.0,1.0
754c1,1,0.0,1.0,1.0
776a1,1,0.0,3.0,1.0
776a1,1,0.0,1.0,1.0
813b1,1,0.0,11.0,11.0
813b1,1,0.0,1.0,1.0
866a1,1,0.0,3.0,1.0
866a1,1,0.0,1.0,1.0
918a1,1,0.0,3.0,1.0
918a1,1,0.0,1.0,1.0
1008g1,1,0.0,3.0,1.0
1008g1,1,0.0,1.0,1.0
1010a1,1,0.0,3.0,1.0
1010a1,1,0.0,1.0,1.0
1022b1,1,0.0,5.0,1.0
1022b1,1,0.0,1.0,1.0
1025a1,1,0.0,3.0,1.0
1025a1,1,0.0,1.0,1.0
1095a1,1,0.0,3.0,1.0
1095a1,1,0.0,1.0,1.0
1158a1,1,0.0,3.0,1.0
1158a1,1,0.0,1.0,1.0
1183a1,1,0.0,3.0,1.0
1183a1,1,0.0,1.0,1.0
1323m1,1,0.0,3.0,1.0
1323m1,1,0.0,1.0,1.0
1338a1,1,0.0,3.0,1.0
1338a1,1,0.0,1.0,1.0
1406g1,1,0.0,3.0,1.0
1406g1,1,0.0,1.0,1.0
1424e1,1,0.0,3.0,1.0
1424e1,1,0.0,1.0,1.0
1443e1,1,0.0,13.0,11.0
1443e1,1,0.0,1.0,1.0
1456h1,1,0.0,3.0,1.0
1456h1,1,0.0,1.0,1.0
1480c1,1,0.0,3.0,1.0
1480c1,1,0.0,1.0,1.0
1510a1,1,0.0,3.0,1.0
1510a1,1,0.0,1.0,1.0
1521a1,1,0.0,3.0,1.0
1521a1,1,0.0,1.0,1.0
1525c1,1,0.0,2.0,1.0
1525c1,1,0.0,4.0,1.0
1632i1,1,0.0,3.0,1.0
1632i1,1,0.0,1.0,1.0
1664a1,1,0.0,3.0,1.0
1664a1,1,0.0,1.0,1.0
1664c1,1,0.0,3.0,1.0
1664c1,1,0.0,1.0,1.0
1664e1,1,0.0,3.0,1.0
1664e1,1,0.0,1.0,1.0
1665c1,1,0.0,5.0,1.0
1665c1,1,0.0,1.0,1.0
1725r1,1,0.0,3.0,1.0
1725r1,1,0.0,1.0,1.0
