,Conductor,Rank,mu_5,lam_5,lam_5_MW
2,207a1,1,0.0,1.0,1.0
3,207a1,1,0.0,3.0,1.0
4,272a1,1,0.0,1.0,1.0
5,272a1,1,0.0,3.0,1.0
14,348a1,1,0.0,1.0,1.0
15,348a1,1,0.0,3.0,1.0
18,399a1,1,0.0,1.0,1.0
19,399a1,1,0.0,5.0,1.0
20,399b1,1,0.0,1.0,1.0
21,399b1,1,0.0,3.0,1.0
24,429a1,1,0.0,1.0,1.0
25,429a1,1,0.0,3.0,1.0
28,438d1,1,0.0,1.0,1.0
29,438d1,1,0.0,3.0,1.0
30,446a1,1,0.0,1.0,1.0
31,446a1,1,0.0,3.0,1.0
32,448g1,1,0.0,1.0,1.0
33,448g1,1,0.0,3.0,1.0
38,513a1,1,0.0,1.0,1.0
39,513a1,1,0.0,7.0,1.0
46,582a1,1,0.0,1.0,1.0
47,582a1,1,0.0,5.0,1.0
52,598a1,1,0.0,1.0,1.0
53,598a1,1,0.0,3.0,1.0
56,616a1,1,0.0,1.0,1.0
57,616a1,1,0.0,3.0,1.0
58,624a1,1,0.0,1.0,1.0
59,624a1,1,0.0,3.0,1.0
60,629c1,1,0.0,1.0,1.0
61,629c1,1,0.0,3.0,1.0
66,681a1,1,0.0,1.0,1.0
67,681a1,1,0.0,3.0,1.0
70,711a1,1,0.0,1.0,1.0
71,711a1,1,0.0,5.0,1.0
74,722f1,1,0.0,1.0,1.0
75,722f1,1,0.0,7.0,1.0
80,784j1,1,0.0,1.0,1.0
81,784j1,1,0.0,3.0,1.0
84,827a1,1,0.0,5.0,5.0
85,827a1,1,0.0,3.0,1.0
86,843a1,1,0.0,1.0,1.0
87,843a1,1,0.0,5.0,1.0
92,856a1,1,0.0,1.0,1.0
93,856a1,1,0.0,3.0,1.0
102,896d1,1,0.0,1.0,1.0
103,896d1,1,0.0,3.0,1.0
104,904a1,1,0.0,1.0,1.0
105,904a1,1,0.0,3.0,1.0
106,921b1,1,0.0,1.0,1.0
107,921b1,1,0.0,3.0,1.0
108,954d1,1,0.0,1.0,1.0
109,954d1,1,0.0,3.0,1.0
110,954e1,1,0.0,1.0,1.0
111,954e1,1,0.0,3.0,1.0
