Label,plus_test,minus_test
88a1,False,False
112a1,False,False
112a2,False,False
121b1,False,False
121b2,False,False
148a1,False,False
236a1,False,True
238b1,False,False
238b2,False,False
256a1,False,False
256a2,False,False
285a1,False,False
285a2,False,False
296b1,False,False
300d1,False,False
300d2,False,False
345b1,False,False
346b1,False,True
359b1,False,False
361a1,False,False
361a2,False,False
378d1,False,False
399b1,False,False
399b2,False,False
406a1,True,False
406a2,True,False
423g1,False,False
426b1,False,False
426b2,False,False
437a1,False,False
438g1,False,True
438g2,False,True
440a1,False,False
440a2,False,False
441d1,False,False
441d2,False,False
441d3,False,False
441d4,False,False
446b1,False,False
465a1,False,False
465a2,False,False
517c1,False,False
528a1,False,False
528a2,False,False
534a1,False,True
534a2,False,True
550j1,False,False
570a1,False,False
570a2,False,False
570c1,False,False
570c2,False,False
574i2,False,False
586c1,False,False
591a1,True,False
592d1,False,False
614a1,False,False
615a1,False,False
615a2,False,False
616d1,False,False
629c1,False,False
654a1,False,False
658e1,False,False
658e2,False,False
662a1,False,False
665a1,False,False
681a1,False,False
706c1,False,False
706c2,False,False
714a1,False,False
714a2,False,False
718c1,False,False
723b1,False,False
744c1,False,True
756c1,False,False
762e1,False,False
770d1,True,False
770d2,True,False
784h1,False,False
784h2,False,False
784h3,False,False
784h4,False,False
800b1,False,False
800i1,False,False
827a1,False,False
854a1,False,False
854c1,False,False
856d1,False,False
864a1,False,True
864j1,False,False
870e1,False,False
870e2,False,False
873d1,True,False
880h1,False,False
880h2,False,False
882d1,False,False
882d2,False,False
886b1,False,False
912h1,False,False
912h2,False,False
914a1,False,False
914a2,False,False
935a1,False,True
954d1,False,False
968e1,False,False
981b1,False,False
990a1,False,True
990a2,False,True
1002d1,False,False
1002d2,False,False
1007a1,False,False
1020h1,False,False
1035c1,False,False
1035d1,False,False
1062f1,False,True
1062f2,False,True
1080a1,False,False
1098i1,False,False
1100c1,False,False
1100c2,False,False
1106d1,False,False
1106d2,False,False
1107a1,False,False
1107b1,False,False
1113d1,False,False
1122a1,False,False
1122a2,False,False
1122d1,False,False
1122d2,False,False
1128c1,False,False
1128c2,False,False
1139a1,False,False
1140a1,False,False
1140a2,False,False
1154a1,False,False
1154a2,False,False
1155d1,False,False
1186a1,False,False
1186a2,False,False
1190a1,False,False
1190a2,False,False
1200n1,False,False
1200n2,False,False
1206a1,False,False
1210f1,True,False
1210k1,False,False
1211a1,False,False
1232a1,False,False
1260c1,False,False
1260c2,False,False
1265a1,False,False
1269a1,False,False
1269d1,False,False
1288f1,False,False
1288f2,False,False
1311b1,False,False
1311d1,False,False
1320d1,True,False
1320d2,True,False
1364a1,False,False
1392k1,False,False
1392k2,False,False
1394b1,False,False
1394b2,False,False
1395b1,False,False
1395b2,False,False
1400n1,False,False
1406e1,False,False
1407d1,False,False
1408d1,False,False
1408d2,False,False
1434b1,False,False
1434b2,False,False
1435b1,False,False
1440a1,False,False
1440a2,False,False
1440i1,False,False
1440i2,False,False
