,Label,plus_test,minus_test
0,53a1,False,False
1,172a1,False,False
2,172a2,False,False
3,197a1,False,False
4,201a1,False,False
5,207a1,False,False
6,207a2,False,False
7,224a1,False,False
8,224a2,False,False
9,243a1,False,False
10,243a2,False,False
11,256a1,False,False
12,256a2,False,False
13,262b1,False,False
14,272a1,False,False
15,272a2,False,False
16,274c1,True,False
17,274c2,True,False
18,291c1,True,False
19,291c2,True,False
20,296b1,False,False
21,304c1,False,False
22,306b1,True,False
23,306b2,True,False
24,306b3,True,False
25,306b4,True,False
26,312b1,False,False
27,312b2,False,False
28,314a1,False,False
29,333a1,False,False
30,333a2,False,False
31,333a3,False,False
32,342c1,False,False
33,342c2,False,False
34,342c3,False,False
35,342c4,False,False
36,347a1,False,False
37,348a1,False,False
38,354c1,True,False
39,368a1,False,False
40,368a2,False,False
41,368e1,False,False
42,368e2,False,False
43,368g1,False,False
44,371a1,False,True
45,374a1,False,False
46,374a2,False,False
47,384d1,False,False
48,384d2,False,False
49,399a1,False,False
50,399a2,False,False
51,399b1,False,False
52,399b2,False,False
53,406a1,False,False
54,406a2,False,False
55,427c1,True,False
56,429a1,False,False
57,429a2,False,False
58,432b1,False,False
59,432b2,False,False
60,434a1,False,False
61,434a2,False,False
62,438c1,True,False
63,438c2,True,False
64,438d1,False,False
65,438d2,False,False
66,438d3,False,False
67,438d4,False,False
68,441b1,False,False
69,441b2,False,False
70,441d1,False,False
71,441d2,False,False
72,441d3,False,False
73,441d4,False,False
74,443b1,False,True
75,446a1,False,False
76,448g1,False,False
77,448g2,False,False
78,462a1,False,False
79,462a2,False,False
80,477a1,False,False
81,486a1,True,False
82,486a2,True,False
83,492a1,False,False
84,513a1,False,False
85,513b1,False,False
86,528a1,True,False
87,528a2,True,False
88,528g1,True,False
89,528g2,True,False
90,528g3,True,False
91,528g4,True,False
92,542b1,False,False
93,544a1,False,True
94,544a2,False,True
95,549a1,False,False
96,549a2,False,False
97,549b1,False,False
98,549b2,False,False
99,557a1,False,False
100,561c1,False,False
101,566a1,False,False
102,576a1,False,False
103,576a2,False,False
104,576a3,False,False
105,576a4,False,False
106,579b1,False,True
107,579b2,False,True
108,582a1,False,False
109,582a2,False,False
110,586b1,False,False
111,588b1,True,False
112,588b2,True,False
113,588b3,True,False
114,588b4,True,False
115,591a1,True,False
116,592e1,False,False
117,592e2,False,False
118,592e3,False,False
119,598a1,False,False
120,598a2,False,False
121,606b1,False,True
122,608f1,True,False
123,609a1,False,True
124,609a2,False,True
125,614b1,False,False
126,614b2,False,False
127,616a1,False,False
128,616a2,False,False
129,618c1,False,False
130,618c2,False,False
131,624a1,False,False
132,624a2,False,False
133,624g1,False,False
134,624g2,False,False
135,624g3,False,False
136,624g4,False,False
137,626a1,False,False
138,626a2,False,False
139,629c1,False,False
140,637a1,False,False
141,637a2,False,False
142,637c1,False,False
143,637c2,False,False
144,644b1,True,False
145,663c1,False,False
146,663c2,False,False
147,664c1,False,True
148,666c1,False,False
149,666c2,False,False
150,672a1,False,False
151,672a2,False,False
152,677a1,True,False
153,678c1,False,False
154,678c2,False,False
155,681a1,False,False
156,682a1,False,False
157,682a2,False,False
158,682a3,False,False
159,696a1,False,True
160,702h1,False,False
161,702h2,False,False
162,702h3,False,False
163,711a1,False,False
164,711b1,False,False
165,713a1,False,False
166,722a1,False,False
167,722a2,False,False
168,722e1,False,False
169,722e2,False,False
170,722e3,False,False
171,722f1,False,False
172,722f2,False,False
173,723b1,False,True
174,726a1,False,False
175,726a2,False,False
176,752a1,True,False
177,752a2,True,False
178,759a1,False,True
179,759a2,False,True
180,763a1,False,False
181,768a1,False,False
182,768a2,False,False
183,768g1,False,False
184,768g2,False,False
185,784h1,True,False
186,784h2,True,False
187,784h3,True,False
188,784h4,True,False
189,784j1,False,False
190,784j2,False,False
191,784j3,False,False
192,784j4,False,False
193,784j5,False,False
194,784j6,False,False
195,792a1,True,False
196,792a2,True,False
197,792c1,False,False
198,792c2,False,False
199,794d1,False,False
200,794d2,False,False
201,794d3,False,False
202,797a1,False,False
203,798a1,False,False
204,798a2,False,False
205,799b1,False,False
206,799b2,False,False
207,801c1,False,False
208,801c2,False,False
209,804b1,False,True
210,813b1,False,False
211,813b2,False,False
212,813b3,False,False
213,816a1,False,False
214,816a2,False,False
215,819a1,False,False
216,819a2,False,False
217,819b1,False,False
218,819b2,False,False
219,827a1,False,True
220,834e1,False,False
221,843a1,False,False
222,846b1,True,False
223,846b2,True,False
224,851a1,True,False
225,854b1,False,False
226,854b2,False,False
227,854b3,False,False
228,854c1,False,False
229,856a1,False,False
230,856c1,False,False
231,858b1,False,False
232,858b2,False,False
233,858b3,False,False
234,858b4,False,False
235,866a1,False,False
236,866a2,False,False
237,867b1,False,False
238,867b2,False,False
239,886d1,True,False
240,888c1,False,True
241,888c2,False,True
242,892b1,False,False
243,892b2,False,False
244,894a1,False,False
245,894e1,True,False
246,896a1,False,True
247,896a2,False,True
248,896b1,True,False
249,896b2,True,False
250,896d1,False,False
251,896d2,False,False
252,901a1,False,False
253,901a2,False,False
254,901b1,False,False
255,901b2,False,False
256,903a1,False,False
257,904a1,False,False
258,904a2,False,False
259,906a1,False,False
260,906c1,False,False
261,906c2,False,False
262,906c3,False,False
263,914a1,False,False
264,914a2,False,False
265,918e1,False,True
266,918e2,False,True
267,918i1,False,True
268,918i2,False,True
269,921b1,False,False
270,921b2,False,False
271,933a1,False,False
272,936g1,False,False
273,936g2,False,False
274,936h1,False,False
275,936h2,False,False
276,939b1,False,False
277,939b2,False,False
278,946b1,False,False
279,946b2,False,False
280,954d1,False,False
281,954e1,False,False
282,954e2,False,False
283,966e1,False,False
284,966e2,False,False
285,972c1,False,False
286,972c2,False,False
287,972d1,False,False
288,972d2,False,False
289,973b1,True,False
290,973b2,True,False
291,973b3,True,False
292,984d1,False,False
293,994a1,True,True
294,994d1,False,True
295,994d2,False,True
296,994g1,False,False
297,994g2,False,False
298,994g3,False,False
299,994g4,False,False
300,997a1,False,False
301,1006e1,False,False
302,1008i1,True,False
303,1008i2,True,False
304,1008i3,True,False
305,1008i4,True,False
306,1008i5,True,False
307,1008i6,True,False
308,1008j1,False,True
309,1008j2,False,True
310,1008j3,False,True
311,1008j4,False,True
312,1012b1,True,False
313,1012b2,True,False
314,1026g1,False,False
315,1026g2,False,False
316,1027a1,False,False
317,1027a2,False,False
318,1027a3,False,False
319,1028b1,False,False
320,1038a1,False,False
321,1044e1,False,False
322,1056a1,False,False
323,1056a2,False,False
324,1062a1,False,False
325,1062a2,False,False
326,1062c1,False,False
327,1062c2,False,False
328,1062g1,False,False
329,1062g2,False,False
330,1078a1,False,False
331,1078a2,False,False
332,1083a1,False,False
333,1083a2,False,False
334,1083d1,False,False
335,1083d2,False,False
336,1088a1,True,False
337,1088a2,True,False
338,1088b1,False,True
339,1088b2,False,True
340,1088c1,False,False
341,1088c2,False,False
342,1088c3,False,False
343,1088c4,False,False
344,1088d1,False,False
345,1088d2,False,False
346,1094b1,False,False
347,1096b1,False,False
348,1096b2,False,False
349,1104f1,False,False
350,1104f2,False,False
351,1104g1,False,False
352,1104g2,False,False
353,1104g3,False,False
354,1104g4,False,False
355,1106d1,False,False
356,1106d2,False,False
357,1108a1,False,False
358,1108a2,False,False
359,1128f1,False,True
360,1128f2,False,True
361,1131a1,True,False
362,1131a2,True,False
363,1132c1,False,False
364,1132c2,False,False
365,1136f1,False,True
366,1136f2,False,True
367,1142b1,False,False
368,1152p1,True,False
369,1152p2,True,False
370,1152q1,False,False
371,1152q2,False,False
372,1152r1,False,False
373,1152r2,False,False
374,1154a1,False,False
375,1154a2,False,False
376,1157a1,False,False
377,1158c1,False,True
378,1158c2,False,True
379,1158c3,False,True
380,1158e1,False,False
381,1158f1,True,False
382,1158f2,True,False
383,1162b1,False,False
384,1166a1,True,True
385,1173d1,False,False
386,1173e1,False,True
387,1176g1,True,False
388,1176g2,True,False
389,1184b1,False,False
390,1184c1,True,False
391,1186a1,False,False
392,1186a2,False,False
393,1188b1,False,False
394,1188b2,False,False
395,1188d1,False,False
396,1188d2,False,False
397,1194a1,True,False
398,1197a1,True,False
399,1197a2,True,False
400,1197b1,True,False
401,1197b2,True,False
402,1208a1,False,False
403,1209b1,False,False
404,1216b1,False,False
405,1216b2,False,False
406,1216b3,False,False
407,1216c1,True,False
408,1216o1,False,False
409,1216o2,False,False
410,1216o3,False,False
411,1216p1,False,False
412,1216r1,False,True
413,1224d1,False,False
414,1224d2,False,False
415,1227b1,False,True
416,1232e1,False,False
417,1232e2,False,False
418,1234a1,False,False
419,1238a1,False,True
420,1246h1,False,False
421,1246h2,False,False
422,1248g1,True,False
423,1248g2,True,False
424,1254d1,True,False
425,1254d2,True,False
426,1256a1,False,True
427,1267a1,False,False
428,1267a2,False,False
429,1269e1,False,False
430,1269f1,False,False
431,1274a1,False,False
432,1274e1,False,False
433,1274i1,True,False
434,1274i2,True,False
435,1274i3,True,False
436,1278e1,False,False
437,1278e2,False,False
438,1281a1,False,True
439,1282a1,False,False
440,1286a1,False,False
441,1287c1,True,True
442,1287c2,True,True
443,1288e1,False,False
444,1296k1,False,False
445,1296k2,False,False
446,1296k3,False,False
447,1296k4,False,False
448,1302e1,True,False
449,1302e2,True,False
450,1304b1,True,False
451,1314a1,False,True
452,1314a2,False,True
453,1314a3,False,True
454,1314a4,False,True
455,1314b1,False,False
456,1314b2,False,False
457,1314d1,False,False
458,1314d2,False,False
459,1323a1,False,False
460,1323a2,False,False
461,1323m1,False,False
462,1323m2,False,False
463,1326a1,False,False
464,1326a2,False,False
465,1326c1,False,False
466,1326c2,False,False
467,1326d1,False,False
468,1326d2,False,False
469,1328a1,False,False
470,1332c1,False,False
471,1332c2,False,False
472,1342b1,False,False
473,1344p1,False,False
474,1344p2,False,False
475,1344p3,False,False
476,1344p4,False,False
477,1346a1,False,False
478,1354a1,True,False
479,1358b1,False,False
