label,point
37a1,"(0, -1)"
43a1,"(0, -1)"
53a1,"(0, -1)"
57a1,"(2, 1)"
58a1,"(0, -1)"
61a1,"(1, -1)"
65a1,"(-1, 1)"
65a2,"(1, -3)"
77a1,"(2, 3)"
79a1,"(0, 0)"
82a1,"(0, 0)"
82a2,"(-2, 1)"
83a1,"(0, 0)"
88a1,"(2, -2)"
89a1,"(0, -1)"
91a1,"(0, 0)"
91b1,"(-1, 3)"
91b2,"(-2, 3)"
91b3,"(15, 24)"
92b1,"(1, 1)"
99a1,"(0, -1)"
99a2,"(2, -3)"
101a1,"(-1, 0)"
102a1,"(-1, -1)"
102a2,"(1, -5)"
106b1,"(2, 1)"
112a1,"(0, -2)"
112a2,"(2, -4)"
117a1,"(-1/4, 15/8)"
117a2,"(-4, 15)"
117a3,"(-6, -4)"
117a4,"(14, -12)"
118a1,"(0, -1)"
121b1,"(4, 5)"
121b2,"(81, -666)"
122a1,"(1, -3)"
123a1,"(-4, 1)"
123a2,"(16, -62)"
123b1,"(1, 0)"
124a1,"(-2, 1)"
124a2,"(9, -31)"
128a1,"(0, 1)"
128a2,"(-1, -4)"
129a1,"(1, -5)"
130a1,"(-6, 10)"
130a2,"(-5, 12)"
130a3,"(-8, -3)"
130a4,"(17, 43)"
131a1,"(0, 0)"
135a1,"(4, -8)"
136a1,"(-2, 2)"
136a2,"(0, 4)"
138a1,"(1, -2)"
138a2,"(-3, 13)"
141a1,"(-3, -5)"
141d1,"(0, -1)"
142a1,"(1, 1)"
142b1,"(-1, 0)"
143a1,"(4, -7)"
145a1,"(0, -2)"
145a2,"(0, 2)"
148a1,"(-1, 2)"
152a1,"(-1, -2)"
153a1,"(0, 1)"
153b1,"(5, -14)"
153b2,"(-22, 76)"
154a1,"(5, 3)"
154a2,"(11, -16)"
155a1,"(5/4, 31/8)"
155a2,"(67, -481)"
155c1,"(1, -1)"
156a1,"(1, 1)"
156a2,"(-2, 2)"
158a1,"(-1, -4)"
158b1,"(0, -1)"
160a1,"(0, -2)"
160a2,"(-1, 4)"
162a1,"(-2, 4)"
162a2,"(10, 31)"
163a1,"(1, 0)"
166a1,"(0, 2)"
170a1,"(0, 2)"
170a2,"(-1, -5)"
171b1,"(2, -5)"
171b2,"(5, -5)"
171b3,"(185/4, 167/8)"
172a1,"(-3, 6)"
172a2,"(10, -43)"
175a1,"(2, -3)"
175a2,"(-13, 17)"
175b1,"(-3, 12)"
175b2,"(12, -63)"
175b3,"(397, 7812)"
176c1,"(1, -2)"
176c2,"(-3, 22)"
184a1,"(0, 1)"
184b1,"(2, -1)"
185a1,"(4, -13)"
185b1,"(0, 2)"
185c1,"(-5/4, 3/8)"
185c2,"(3, -7)"
189a1,"(-1, -2)"
189b1,"(-3, 9)"
189b2,"(-6, 4)"
189b3,"(-143/4, -3/8)"
190a1,"(13, -47)"
190b1,"(1, 2)"
192a1,"(3, 2)"
192a2,"(-1, 4)"
192a3,"(-11, 24)"
192a4,"(1, 8)"
196a1,"(0, -1)"
196a2,"(7, -1)"
197a1,"(1, 0)"
198a1,"(-1, -4)"
198a2,"(2, -28)"
198a3,"(33, -14)"
198a4,"(-7, -46)"
200b1,"(-1, 1)"
200b2,"(2, 2)"
201a1,"(1, -2)"
201b1,"(-1, 2)"
201c1,"(16, -7)"
203b1,"(2, -5)"
205a1,"(-1, 8)"
205a2,"(-4, 9)"
205a3,"(-8, 6)"
205a4,"(1, 14)"
207a1,"(0, 4)"
207a2,"(6, 1)"
208a1,"(4, -8)"
208a2,"(36, -208)"
208a3,"(60, 128)"
208b1,"(4, 4)"
209a1,"(-5, 9)"
209a2,"(2, 9)"
210d1,"(-1, 1)"
210d2,"(1, -4)"
210d3,"(11, -4)"
210d4,"(1, -13)"
212a1,"(2, 2)"
214a1,"(0, -4)"
214b1,"(0, 0)"
214c1,"(11, 10)"
215a1,"(6, -13)"
216a1,"(-2, -6)"
218a1,"(-2, 2)"
218a2,"(36, 200)"
219a1,"(2, -1)"
219b1,"(-3/4, -1/8)"
219b2,"(23, -110)"
219c1,"(-6, 7)"
219c2,"(207/4, 1691/8)"
220a1,"(-7, 11)"
220a2,"(-8, 10)"
220a3,"(-12, 6)"
220a4,"(131, 1050)"
224a1,"(1, 2)"
224a2,"(-2, 2)"
225a1,"(1, 1)"
225a2,"(6, -14)"
225e1,"(-5, 22)"
225e2,"(100, -1013)"
226a1,"(-2, 3)"
226a2,"(-4, 3)"
228b1,"(3, 6)"
229a1,"(-1, 1)"
232a1,"(2, -4)"
234c1,"(1, -2)"
234c2,"(4, 1)"
235a1,"(-2, 3)"
236a1,"(1, -1)"
238a1,"(-4, -12)"
238a2,"(14, -14)"
238b1,"(1, 1)"
238b2,"(-1, 4)"
240c1,"(1, 2)"
240c2,"(-2, 6)"
240c3,"(-6, 2)"
240c4,"(8, 4)"
242a1,"(0, -1)"
242a2,"(8, -20)"
243a1,"(1, 0)"
243a2,"(-2, 3)"
244a1,"(-1, 2)"
245a1,"(7, 17)"
245c1,"(12, 24)"
245c2,"(89, -858)"
245c3,"(40, -123)"
246d1,"(3, -6)"
246d2,"(1, -21)"
