Conductor,Rank,mu_5,lam_5,lam_5_MW
53a1,1,0.0,1.0,1.0
53a1,1,0.0,1.0,1.0
172a1,1,0.0,1.0,1.0
172a1,1,0.0,1.0,1.0
201a1,1,0.0,1.0,1.0
201a1,1,0.0,1.0,1.0
224a1,1,0.0,1.0,1.0
224a1,1,0.0,1.0,1.0
243a1,1,0.0,1.0,1.0
243a1,1,0.0,1.0,1.0
256a1,1,0.0,1.0,1.0
256a1,1,0.0,1.0,1.0
262b1,1,0.0,1.0,1.0
262b1,1,0.0,1.0,1.0
296b1,1,0.0,1.0,1.0
296b1,1,0.0,1.0,1.0
302c1,1,0.0,1.0,1.0
302c1,1,0.0,1.0,1.0
304c1,1,0.0,1.0,1.0
304c1,1,0.0,1.0,1.0
312b1,1,0.0,1.0,1.0
312b1,1,0.0,1.0,1.0
314a1,1,0.0,1.0,1.0
314a1,1,0.0,1.0,1.0
342c1,1,0.0,1.0,1.0
342c1,1,0.0,1.0,1.0
347a1,1,0.0,1.0,1.0
347a1,1,0.0,1.0,1.0
368a1,1,0.0,1.0,1.0
368a1,1,0.0,1.0,1.0
368e1,1,0.0,1.0,1.0
368e1,1,0.0,1.0,1.0
368g1,1,0.0,1.0,1.0
368g1,1,0.0,1.0,1.0
371a1,1,0.0,1.0,1.0
371a1,1,0.0,1.0,1.0
374a1,1,0.0,1.0,1.0
374a1,1,0.0,1.0,1.0
384d1,1,0.0,1.0,1.0
384d1,1,0.0,1.0,1.0
406a1,1,0.0,1.0,1.0
406a1,1,0.0,1.0,1.0
432b1,1,0.0,1.0,1.0
432b1,1,0.0,1.0,1.0
434a1,1,0.0,1.0,1.0
434a1,1,0.0,1.0,1.0
441b1,1,0.0,1.0,1.0
441b1,1,0.0,1.0,1.0
441d1,1,0.0,1.0,1.0
441d1,1,0.0,1.0,1.0
443b1,1,0.0,1.0,1.0
443b1,1,0.0,1.0,1.0
462a1,1,0.0,1.0,1.0
462a1,1,0.0,1.0,1.0
492a1,1,0.0,1.0,1.0
492a1,1,0.0,1.0,1.0
513b1,1,0.0,1.0,1.0
513b1,1,0.0,1.0,1.0
544a1,1,0.0,1.0,1.0
544a1,1,0.0,1.0,1.0
549a1,1,0.0,1.0,1.0
549a1,1,0.0,1.0,1.0
549b1,1,0.0,1.0,1.0
549b1,1,0.0,1.0,1.0
557a1,1,0.0,1.0,1.0
557a1,1,0.0,1.0,1.0
561c1,1,0.0,1.0,1.0
561c1,1,0.0,1.0,1.0
566a1,1,0.0,1.0,1.0
566a1,1,0.0,1.0,1.0
576a1,1,0.0,1.0,1.0
576a1,1,0.0,1.0,1.0
579b1,1,0.0,1.0,1.0
579b1,1,0.0,1.0,1.0
586b1,1,0.0,1.0,1.0
586b1,1,0.0,1.0,1.0
592e1,1,0.0,1.0,1.0
592e1,1,0.0,1.0,1.0
606b1,1,0.0,1.0,1.0
606b1,1,0.0,1.0,1.0
609a1,1,0.0,1.0,1.0
609a1,1,0.0,1.0,1.0
614b1,1,0.0,1.0,1.0
614b1,1,0.0,1.0,1.0
618c1,1,0.0,1.0,1.0
618c1,1,0.0,1.0,1.0
624g1,1,0.0,1.0,1.0
