Conductor,Rank,mu_5,lam_5,lam_5_MW
207a1,1,0.0,1.0,1.0
207a1,1,0.0,3.0,1.0
272a1,1,0.0,1.0,1.0
272a1,1,0.0,3.0,1.0
348a1,1,0.0,1.0,1.0
348a1,1,0.0,3.0,1.0
399a1,1,0.0,1.0,1.0
399a1,1,0.0,5.0,1.0
399b1,1,0.0,1.0,1.0
399b1,1,0.0,3.0,1.0
429a1,1,0.0,1.0,1.0
429a1,1,0.0,3.0,1.0
438d1,1,0.0,1.0,1.0
438d1,1,0.0,3.0,1.0
446a1,1,0.0,1.0,1.0
446a1,1,0.0,3.0,1.0
448g1,1,0.0,1.0,1.0
448g1,1,0.0,3.0,1.0
513a1,1,0.0,1.0,1.0
513a1,1,0.0,7.0,1.0
582a1,1,0.0,1.0,1.0
582a1,1,0.0,5.0,1.0
598a1,1,0.0,1.0,1.0
598a1,1,0.0,3.0,1.0
616a1,1,0.0,1.0,1.0
616a1,1,0.0,3.0,1.0
624a1,1,0.0,1.0,1.0
624a1,1,0.0,3.0,1.0
629c1,1,0.0,1.0,1.0
629c1,1,0.0,3.0,1.0
681a1,1,0.0,1.0,1.0
681a1,1,0.0,3.0,1.0
711a1,1,0.0,1.0,1.0
711a1,1,0.0,5.0,1.0
722f1,1,0.0,1.0,1.0
722f1,1,0.0,7.0,1.0
784j1,1,0.0,1.0,1.0
784j1,1,0.0,3.0,1.0
827a1,1,0.0,5.0,5.0
827a1,1,0.0,3.0,1.0
843a1,1,0.0,1.0,1.0
843a1,1,0.0,5.0,1.0
856a1,1,0.0,1.0,1.0
856a1,1,0.0,3.0,1.0
896d1,1,0.0,1.0,1.0
896d1,1,0.0,3.0,1.0
904a1,1,0.0,1.0,1.0
904a1,1,0.0,3.0,1.0
921b1,1,0.0,1.0,1.0
921b1,1,0.0,3.0,1.0
954d1,1,0.0,1.0,1.0
954d1,1,0.0,3.0,1.0
954e1,1,0.0,1.0,1.0
954e1,1,0.0,3.0,1.0
966e1,1,0.0,1.0,1.0
966e1,1,0.0,3.0,1.0
972c1,1,0.0,1.0,1.0
972c1,1,0.0,3.0,1.0
1026g1,1,0.0,1.0,1.0
1026g1,1,0.0,7.0,1.0
1062g1,1,0.0,1.0,1.0
1062g1,1,0.0,9.0,1.0
1094b1,1,0.0,1.0,1.0
1094b1,1,0.0,3.0,1.0
1106d1,1,0.0,1.0,1.0
1106d1,1,0.0,3.0,1.0
1108a1,1,0.0,1.0,1.0
1108a1,1,0.0,3.0,1.0
1173d1,1,0.0,1.0,1.0
1173d1,1,0.0,3.0,1.0
1216o1,1,0.0,1.0,1.0
1216o1,1,0.0,3.0,1.0
1216p1,1,0.0,1.0,1.0
1216p1,1,0.0,3.0,1.0
1224d1,1,0.0,1.0,1.0
1224d1,1,0.0,5.0,1.0
1227b1,1,0.0,3.0,1.0
1227b1,1,0.0,5.0,1.0
1287c1,1,0.0,5.0,1.0
1287c1,1,0.0,3.0,1.0
1314b1,1,0.0,1.0,1.0
1314b1,1,0.0,3.0,1.0
1369a1,1,0.0,1.0,1.0
1369a1,1,0.0,3.0,1.0
1407e1,1,0.0,1.0,1.0
1407e1,1,0.0,3.0,1.0
1426c1,1,0.0,1.0,1.0
1426c1,1,0.0,3.0,1.0
1449d1,1,0.0,1.0,1.0
1449d1,1,0.0,3.0,1.0
1456g1,1,0.0,1.0,1.0
1456g1,1,0.0,5.0,1.0
1466a1,1,0.0,1.0,1.0
1466a1,1,0.0,7.0,1.0
1476a1,1,0.0,1.0,1.0
1476a1,1,0.0,3.0,1.0
1478b1,1,0.0,1.0,1.0
1478b1,1,0.0,5.0,1.0
1496a1,1,0.0,3.0,1.0
1496a1,1,0.0,5.0,1.0
1496b1,1,0.0,3.0,1.0
1496b1,1,0.0,5.0,1.0
1506b1,1,0.0,3.0,1.0
1506b1,1,0.0,7.0,1.0
1566a1,1,0.0,1.0,1.0
1566a1,1,0.0,3.0,1.0
1569a1,1,0.0,3.0,1.0
1569a1,1,0.0,5.0,1.0
1584j1,1,0.0,1.0,1.0
1584j1,1,0.0,3.0,1.0
1584l1,1,0.0,1.0,1.0
1584l1,1,0.0,3.0,1.0
1596b1,1,0.0,1.0,1.0
1596b1,1,0.0,5.0,1.0
1613a1,1,0.0,6.0,5.0
1613a1,1,0.0,2.0,1.0
1617f1,1,0.0,1.0,1.0
1617f1,1,0.0,3.0,1.0
1624a1,1,0.0,1.0,1.0
1624a1,1,0.0,3.0,1.0
1632a1,1,0.0,1.0,1.0
1632a1,1,0.0,3.0,1.0
1632i1,1,0.0,1.0,1.0
1632i1,1,0.0,3.0,1.0
1656f1,1,0.0,1.0,1.0
1656f1,1,0.0,5.0,1.0
1674e1,1,0.0,1.0,1.0
1674e1,1,0.0,7.0,1.0
1686a1,1,0.0,1.0,1.0
1686a1,1,0.0,5.0,1.0
1694f1,1,0.0,1.0,1.0
1694f1,1,0.0,3.0,1.0
1714a1,1,0.0,1.0,1.0
1714a1,1,0.0,3.0,1.0
1722j1,1,0.0,1.0,1.0
1722j1,1,0.0,3.0,1.0
