Conductor,Rank,mu_5,lam_5,lam_5_MW
197a1,1,0.0,7.0,5.0
197a1,1,0.0,1.0,1.0
274c1,1,0.0,5.0,5.0
274c1,1,0.0,1.0,1.0
291c1,1,0.0,3.0,1.0
291c1,1,0.0,1.0,1.0
306b1,1,0.0,3.0,1.0
306b1,1,0.0,1.0,1.0
333a1,1,0.0,3.0,1.0
333a1,1,0.0,1.0,1.0
354c1,1,0.0,3.0,1.0
354c1,1,0.0,1.0,1.0
427c1,1,0.0,3.0,1.0
427c1,1,0.0,1.0,1.0
438c1,1,0.0,3.0,1.0
438c1,1,0.0,1.0,1.0
477a1,1,0.0,3.0,1.0
477a1,1,0.0,1.0,1.0
486a1,1,0.0,3.0,1.0
486a1,1,0.0,1.0,1.0
528a1,1,0.0,5.0,5.0
528a1,1,0.0,1.0,1.0
528g1,1,0.0,3.0,1.0
528g1,1,0.0,1.0,1.0
542b1,1,0.0,5.0,5.0
542b1,1,0.0,1.0,1.0
588b1,1,0.0,3.0,1.0
588b1,1,0.0,1.0,1.0
591a1,1,0.0,3.0,1.0
591a1,1,0.0,1.0,1.0
608f1,1,0.0,3.0,1.0
608f1,1,0.0,1.0,1.0
644b1,1,0.0,5.0,5.0
644b1,1,0.0,1.0,1.0
677a1,1,0.0,3.0,1.0
677a1,1,0.0,1.0,1.0
682a1,1,0.0,3.0,1.0
682a1,1,0.0,1.0,1.0
722a1,1,0.0,3.0,1.0
722a1,1,0.0,1.0,1.0
752a1,1,0.0,3.0,1.0
752a1,1,0.0,1.0,1.0
784h1,1,0.0,3.0,1.0
784h1,1,0.0,1.0,1.0
792a1,1,0.0,3.0,1.0
792a1,1,0.0,1.0,1.0
827a1,1,0.0,5.0,5.0
827a1,1,0.0,3.0,1.0
846b1,1,0.0,3.0,1.0
846b1,1,0.0,1.0,1.0
851a1,1,0.0,5.0,5.0
851a1,1,0.0,1.0,1.0
886d1,1,0.0,3.0,1.0
886d1,1,0.0,1.0,1.0
892b1,1,0.0,7.0,5.0
892b1,1,0.0,1.0,1.0
894e1,1,0.0,7.0,1.0
894e1,1,0.0,1.0,1.0
896b1,1,0.0,5.0,5.0
896b1,1,0.0,1.0,1.0
972d1,1,0.0,5.0,5.0
972d1,1,0.0,1.0,1.0
973b1,1,0.0,3.0,1.0
973b1,1,0.0,1.0,1.0
1008i1,1,0.0,5.0,5.0
1008i1,1,0.0,1.0,1.0
1012b1,1,0.0,3.0,1.0
1012b1,1,0.0,1.0,1.0
1027a1,1,0.0,5.0,5.0
1027a1,1,0.0,1.0,1.0
1078a1,1,0.0,5.0,5.0
1078a1,1,0.0,1.0,1.0
1083a1,1,0.0,3.0,1.0
1083a1,1,0.0,1.0,1.0
1088a1,1,0.0,3.0,1.0
1088a1,1,0.0,1.0,1.0
1131a1,1,0.0,3.0,1.0
1131a1,1,0.0,1.0,1.0
1142b1,1,0.0,3.0,1.0
1142b1,1,0.0,1.0,1.0
1152p1,1,0.0,3.0,1.0
1152p1,1,0.0,1.0,1.0
1157a1,1,0.0,3.0,1.0
1157a1,1,0.0,1.0,1.0
1158f1,1,0.0,7.0,5.0
1158f1,1,0.0,1.0,1.0
1162b1,1,0.0,3.0,1.0
1162b1,1,0.0,1.0,1.0
1176g1,1,0.0,3.0,1.0
1176g1,1,0.0,1.0,1.0
1184c1,1,0.0,3.0,1.0
1184c1,1,0.0,1.0,1.0
1188b1,1,0.0,3.0,1.0
1188b1,1,0.0,1.0,1.0
1194a1,1,0.0,3.0,1.0
1194a1,1,0.0,1.0,1.0
1197a1,1,0.0,3.0,1.0
1197a1,1,0.0,1.0,1.0
1197b1,1,0.0,3.0,1.0
1197b1,1,0.0,1.0,1.0
1216c1,1,0.0,3.0,1.0
1216c1,1,0.0,1.0,1.0
1227b1,1,0.0,3.0,1.0
1227b1,1,0.0,5.0,1.0
1248g1,1,0.0,7.0,5.0
1248g1,1,0.0,1.0,1.0
1254d1,1,0.0,5.0,5.0
1254d1,1,0.0,1.0,1.0
1274i1,1,0.0,3.0,1.0
1274i1,1,0.0,1.0,1.0
1278e1,1,0.0,3.0,1.0
1278e1,1,0.0,1.0,1.0
1287c1,1,0.0,5.0,1.0
1287c1,1,0.0,3.0,1.0
1302e1,1,0.0,3.0,1.0
1302e1,1,0.0,1.0,1.0
1304b1,1,0.0,5.0,5.0
1304b1,1,0.0,1.0,1.0
1354a1,1,0.0,3.0,1.0
1354a1,1,0.0,1.0,1.0
1362c1,1,0.0,3.0,1.0
1362c1,1,0.0,1.0,1.0
1368e1,1,0.0,3.0,1.0
1368e1,1,0.0,1.0,1.0
1466c1,1,0.0,3.0,1.0
1466c1,1,0.0,1.0,1.0
1492a1,1,0.0,3.0,1.0
1492a1,1,0.0,1.0,1.0
1496a1,1,0.0,3.0,1.0
1496a1,1,0.0,5.0,1.0
1496b1,1,0.0,3.0,1.0
1496b1,1,0.0,5.0,1.0
1506b1,1,0.0,3.0,1.0
1506b1,1,0.0,7.0,1.0
1518m1,1,0.0,3.0,1.0
1518m1,1,0.0,1.0,1.0
1569a1,1,0.0,3.0,1.0
1569a1,1,0.0,5.0,1.0
1599b1,1,0.0,3.0,1.0
1599b1,1,0.0,1.0,1.0
1613a1,1,0.0,6.0,5.0
1613a1,1,0.0,2.0,1.0
1617a1,1,0.0,3.0,1.0
1617a1,1,0.0,1.0,1.0
